 ******************************************
 *                                        *
 *               <<< EH >>>               *
 *                                        *
 ******************************************
 * Stress and strain distributions around *
 * circular holes in infinite ortotropic  *
 * plates                                 *
 ******************************************

 Example 3: Program EH
 Stresses/Strains Around a Hole in an infinite orthotropic plate
 Input 3: Mean properties of the plate
 4 Load Cases


                     MEAN LAMINATE PROPERTIES               
       =====================================================
           Ex            Ey            Gxy           µxy
       ===========   ===========   ===========   ===========
        9.0051E+04    5.3675E+04    1.2055E+04    2.2000E-01



 Load case:   1
 ==============

                      X-Stress      Y-Stress     XY-Stress
                     ===========   ===========   ===========
                      1.0000E+02   -5.0000E+01   -1.0000E+02

 Ang      Sigma       X-Stress      Y-Stress      XY-Stress     X-Strain      Y-Strain      XY-Strain     Eps-Circ       Eps-Rad     Eps-RadCirc
  55    4.4369E+02    2.9772E+02    1.4597E+02   -2.0846E+02    2.9495E-03    1.9921E-03   -1.7292E-02    1.0759E-02   -5.8177E-03    5.0147E-03
  60    4.9232E+02    3.6924E+02    1.2308E+02   -2.1318E+02    3.7996E-03    1.3910E-03   -1.7683E-02    1.0855E-02   -5.6640E-03    6.7557E-03
  65    5.4405E+02    4.4688E+02    9.7171E+01   -2.0838E+02    4.7251E-03    7.1859E-04   -1.7286E-02    1.0630E-02   -5.1866E-03    8.0418E-03
  70    5.9451E+02    5.2497E+02    6.9545E+01   -1.9107E+02    5.6598E-03    1.3126E-05   -1.5850E-02    1.0093E-02   -4.4203E-03    8.5120E-03
  75    6.3295E+02    5.9055E+02    4.2400E+01   -1.5824E+02    6.4544E-03   -6.5282E-04   -1.3126E-02    9.2598E-03   -3.4582E-03    7.8138E-03
  80    6.3986E+02    6.2057E+02    1.9294E+01   -1.0942E+02    6.8442E-03   -1.1566E-03   -9.0768E-03    8.1551E-03   -2.4676E-03    5.7929E-03
  85    5.9108E+02    5.8659E+02    4.4899E+00   -5.1320E+01    6.5030E-03   -1.3494E-03   -4.2570E-03    6.8130E-03   -1.6594E-03    2.8288E-03
  90    4.7493E+02    4.7493E+02    1.2606E-11    7.7376E-05    5.2740E-03   -1.1603E-03    6.4184E-09    5.2740E-03   -1.1603E-03   -4.3218E-09
  95    3.1103E+02    3.0867E+02    2.3626E+00    2.7005E+01    3.4219E-03   -7.1008E-04    2.2401E-03    3.5850E-03   -8.7318E-04   -1.4885E-03
 100    1.4102E+02    1.3677E+02    4.2524E+00    2.4116E+01    1.5084E-03   -2.5492E-04    2.0005E-03    1.7974E-03   -5.4385E-04   -1.2767E-03
 105   -2.3708E+00   -2.2120E+00   -1.5882E-01   -5.9271E-01   -2.4176E-05    2.4453E-06   -4.9166E-05   -3.4684E-05    1.2953E-05    2.9268E-05
 110   -1.0929E+02   -9.6505E+01   -1.2785E+01   -3.5125E+01   -1.0404E-03   -2.4135E-06   -2.9137E-03   -1.8555E-03    8.1260E-04    1.5648E-03
 115   -1.8474E+02   -1.5174E+02   -3.2995E+01   -7.0758E+01   -1.6045E-03   -2.4400E-04   -5.8695E-03   -3.6096E-03    1.7612E-03    2.7307E-03
 120   -2.3784E+02   -1.7838E+02   -5.9459E+01   -1.0299E+02   -1.8356E-03   -6.7197E-04   -8.5429E-03   -5.2439E-03    2.7363E-03    3.2637E-03
 125   -2.7664E+02   -1.8563E+02   -9.1013E+01   -1.2998E+02   -1.8390E-03   -1.2421E-03   -1.0782E-02   -6.7085E-03    3.6274E-03    3.1267E-03
 130   -3.0692E+02   -1.8011E+02   -1.2681E+02   -1.5113E+02   -1.6903E-03   -1.9226E-03   -1.2536E-02   -7.9592E-03    4.3463E-03    2.4057E-03
 135   -3.3238E+02   -1.6619E+02   -1.6619E+02   -1.6619E+02   -1.4395E-03   -2.6902E-03   -1.3786E-02   -8.9577E-03    4.8280E-03    1.2507E-03
 140   -3.5515E+02   -1.4674E+02   -2.0841E+02   -1.7488E+02   -1.1203E-03   -3.5243E-03   -1.4506E-02   -9.6739E-03    5.0293E-03   -1.5156E-04
 145   -3.7601E+02   -1.2370E+02   -2.5230E+02   -1.7666E+02   -7.5730E-04   -4.3983E-03   -1.4655E-02   -1.0086E-02    4.9302E-03   -1.5907E-03
 150   -3.9445E+02   -9.8613E+01   -2.9584E+02   -1.7080E+02   -3.7233E-04   -5.2707E-03   -1.4168E-02   -1.0181E-02    4.5381E-03   -2.8420E-03
 155   -4.0846E+02   -7.2953E+01   -3.3551E+02   -1.5645E+02    9.5281E-06   -6.0724E-03   -1.2978E-02   -9.9569E-03    3.8940E-03   -3.6828E-03
 160   -4.1420E+02   -4.8452E+01   -3.6574E+02   -1.3312E+02    3.5549E-04   -6.6957E-03   -1.1042E-02   -9.4198E-03    3.0796E-03   -3.9266E-03
 165   -4.0603E+02   -2.7199E+01   -3.7883E+02   -1.0151E+02    6.2347E-04   -6.9914E-03   -8.4201E-03   -8.5863E-03    2.2184E-03   -3.4846E-03
 170   -3.7754E+02   -1.1384E+01   -3.6615E+02   -6.4563E+01    7.6812E-04   -6.7938E-03   -5.3556E-03   -7.4817E-03    1.4560E-03   -2.4462E-03
 175   -3.2419E+02   -2.4626E+00   -3.2173E+02   -2.8148E+01    7.5867E-04   -5.9880E-03   -2.3349E-03   -6.1395E-03    9.1014E-04   -1.1279E-03
 180   -2.4694E+02   -2.6218E-11   -2.4694E+02    8.0462E-05    6.0328E-04   -4.6005E-03    6.6744E-09   -4.6005E-03    6.0328E-04    3.2832E-09



 Load case:   2
 ==============

                      X-Stress      Y-Stress     XY-Stress
                     ===========   ===========   ===========
                      1.0000E+02    0.0000E+00    0.0000E+00

 Ang      Sigma       X-Stress      Y-Stress      XY-Stress     X-Strain      Y-Strain      XY-Strain     Eps-Circ       Eps-Rad     Eps-RadCirc
 ===   ===========   ===========   ===========   ===========   ===========   ===========   ===========   ===========   ===========   ===========
   0   -7.7205E+01    0.0000E+00   -7.7205E+01    0.0000E+00    1.8862E-04   -1.4384E-03    0.0000E+00   -1.4384E-03    1.8862E-04    0.0000E+00
   5   -7.3548E+01   -5.5868E-01   -7.2990E+01    6.3858E+00    1.7211E-04   -1.3585E-03    5.2971E-04   -1.3928E-03    2.0648E-04    2.5588E-04
  10   -6.3463E+01   -1.9136E+00   -6.1549E+01    1.0853E+01    1.2912E-04   -1.1420E-03    9.0025E-04   -1.2576E-03    2.4474E-04    4.1121E-04
  15   -4.9033E+01   -3.2846E+00   -4.5748E+01    1.2258E+01    7.5291E-05   -8.4429E-04    1.0168E-03   -1.0369E-03    2.6790E-04    4.2081E-04
  20   -3.2419E+01   -3.7923E+00   -2.8627E+01    1.0419E+01    2.7824E-05   -5.2407E-04    8.6430E-04   -7.3729E-04    2.4104E-04    3.0734E-04
  25   -1.5094E+01   -2.6959E+00   -1.2398E+01    5.7813E+00    3.5205E-07   -2.2440E-04    4.7957E-04   -3.6794E-04    1.4390E-04    1.3609E-04
  30    2.3221E+00    5.8052E-01    1.7416E+00   -1.0055E+00    2.1918E-06    3.1028E-05   -8.3407E-05    5.9935E-05   -2.6715E-05   -1.6730E-05
  35    1.9883E+01    6.5413E+00    1.3342E+01   -9.3420E+00    4.0046E-05    2.3258E-04   -7.7493E-04    5.3334E-04   -2.6071E-04   -8.4115E-05
  40    3.8103E+01    1.5743E+01    2.2359E+01   -1.8762E+01    1.2020E-04    3.7811E-04   -1.5563E-03    1.0379E-03   -5.3957E-04   -1.6259E-05
  45    5.7819E+01    2.8910E+01    2.8910E+01   -2.8910E+01    2.5041E-04    4.6797E-04   -2.3981E-03    1.5582E-03   -8.3985E-04    2.1757E-04
  50    8.0154E+01    4.7036E+01    3.3118E+01   -3.9468E+01    4.4142E-04    5.0209E-04   -3.2739E-03    2.0786E-03   -1.1351E-03    6.2826E-04
  55    1.0652E+02    7.1477E+01    3.5045E+01   -5.0049E+01    7.0813E-04    4.7828E-04   -4.1516E-03    2.5831E-03   -1.3967E-03    1.2039E-03
  60    1.3863E+02    1.0397E+02    3.4658E+01   -6.0029E+01    1.0699E-03    3.9168E-04   -4.9794E-03    3.0565E-03   -1.5949E-03    1.9023E-03
  65    1.7833E+02    1.4648E+02    3.1851E+01   -6.8304E+01    1.5488E-03    2.3554E-04   -5.6659E-03    3.4844E-03   -1.7001E-03    2.6359E-03
  70    2.2699E+02    2.0044E+02    2.6553E+01   -7.2955E+01    2.1610E-03    5.0119E-06   -6.0517E-03    3.8538E-03   -1.6878E-03    3.2500E-03
  75    2.8390E+02    2.6488E+02    1.9018E+01   -7.0976E+01    2.8950E-03   -2.9282E-04   -5.8875E-03    4.1534E-03   -1.5511E-03    3.5048E-03
  80    3.4320E+02    3.3285E+02    1.0349E+01   -5.8690E+01    3.6710E-03   -6.2037E-04   -4.8684E-03    4.3741E-03   -1.3235E-03    3.1071E-03
  85    3.9122E+02    3.8825E+02    2.9717E+00   -3.3967E+01    4.3042E-03   -8.9315E-04   -2.8176E-03    4.5093E-03   -1.0983E-03    1.8723E-03
  90    4.1017E+02    4.1017E+02    1.0887E-11    6.6825E-05    4.5548E-03   -1.0021E-03    5.5432E-09    4.5548E-03   -1.0021E-03   -3.7325E-09
  95    3.9122E+02    3.8825E+02    2.9718E+00    3.3967E+01    4.3041E-03   -8.9314E-04    2.8176E-03    4.5093E-03   -1.0983E-03   -1.8723E-03
 100    3.4320E+02    3.3285E+02    1.0349E+01    5.8691E+01    3.6710E-03   -6.2037E-04    4.8684E-03    4.3741E-03   -1.3235E-03   -3.1071E-03
 105    2.8390E+02    2.6488E+02    1.9018E+01    7.0976E+01    2.8950E-03   -2.9282E-04    5.8875E-03    4.1534E-03   -1.5511E-03   -3.5048E-03
 110    2.2699E+02    2.0044E+02    2.6553E+01    7.2955E+01    2.1610E-03    5.0128E-06    6.0517E-03    3.8538E-03   -1.6878E-03   -3.2500E-03
 115    1.7833E+02    1.4648E+02    3.1851E+01    6.8304E+01    1.5488E-03    2.3554E-04    5.6659E-03    3.4844E-03   -1.7001E-03   -2.6359E-03
 120    1.3863E+02    1.0397E+02    3.4658E+01    6.0029E+01    1.0699E-03    3.9168E-04    4.9794E-03    3.0565E-03   -1.5949E-03   -1.9023E-03
 125    1.0652E+02    7.1477E+01    3.5045E+01    5.0049E+01    7.0813E-04    4.7828E-04    4.1516E-03    2.5831E-03   -1.3967E-03   -1.2039E-03
 130    8.0154E+01    4.7036E+01    3.3118E+01    3.9468E+01    4.4142E-04    5.0209E-04    3.2739E-03    2.0786E-03   -1.1351E-03   -6.2826E-04
 135    5.7819E+01    2.8910E+01    2.8910E+01    2.8910E+01    2.5041E-04    4.6797E-04    2.3981E-03    1.5582E-03   -8.3985E-04   -2.1756E-04
 140    3.8102E+01    1.5743E+01    2.2359E+01    1.8762E+01    1.2020E-04    3.7811E-04    1.5563E-03    1.0379E-03   -5.3957E-04    1.6260E-05
 145    1.9883E+01    6.5413E+00    1.3342E+01    9.3420E+00    4.0045E-05    2.3258E-04    7.7493E-04    5.3334E-04   -2.6071E-04    8.4115E-05
 150    2.3220E+00    5.8051E-01    1.7415E+00    1.0055E+00    2.1918E-06    3.1027E-05    8.3405E-05    5.9934E-05   -2.6715E-05    1.6730E-05
 155   -1.5094E+01   -2.6959E+00   -1.2398E+01   -5.7814E+00    3.5210E-07   -2.2440E-04   -4.7957E-04   -3.6794E-04    1.4390E-04   -1.3609E-04
 160   -3.2419E+01   -3.7923E+00   -2.8627E+01   -1.0419E+01    2.7824E-05   -5.2407E-04   -8.6430E-04   -7.3729E-04    2.4105E-04   -3.0734E-04
 165   -4.9033E+01   -3.2846E+00   -4.5748E+01   -1.2258E+01    7.5291E-05   -8.4429E-04   -1.0168E-03   -1.0369E-03    2.6790E-04   -4.2081E-04
 170   -6.3463E+01   -1.9136E+00   -6.1549E+01   -1.0853E+01    1.2912E-04   -1.1420E-03   -9.0025E-04   -1.2576E-03    2.4474E-04   -4.1120E-04
 175   -7.3548E+01   -5.5868E-01   -7.2990E+01   -6.3858E+00    1.7211E-04   -1.3585E-03   -5.2971E-04   -1.3928E-03    2.0648E-04   -2.5588E-04
 180   -7.7205E+01   -8.1970E-12   -7.7205E+01    2.5156E-05    1.8862E-04   -1.4384E-03    2.0868E-09   -1.4384E-03    1.8862E-04    1.0265E-09



 Load case:   3
 ==============

                      X-Stress      Y-Stress     XY-Stress
                     ===========   ===========   ===========
                      0.0000E+00   -5.0000E+01    0.0000E+00

 Ang      Sigma       X-Stress      Y-Stress      XY-Stress     X-Strain      Y-Strain      XY-Strain     Eps-Circ       Eps-Rad     Eps-RadCirc
 ===   ===========   ===========   ===========   ===========   ===========   ===========   ===========   ===========   ===========   ===========
   0   -1.6973E+02    0.0000E+00   -1.6973E+02    0.0000E+00    4.1466E-04   -3.1622E-03    0.0000E+00   -3.1622E-03    4.1466E-04    0.0000E+00
   5   -1.6542E+02   -1.2566E+00   -1.6417E+02    1.4363E+01    3.8711E-04   -3.0554E-03    1.1914E-03   -3.1327E-03    4.6440E-04    5.7550E-04
  10   -1.5366E+02   -4.6335E+00   -1.4903E+02    2.6278E+01    3.1264E-04   -2.7652E-03    2.1798E-03   -3.0452E-03    5.9259E-04    9.9565E-04
  15   -1.3724E+02   -9.1932E+00   -1.2805E+02    3.4310E+01    2.1073E-04   -2.3631E-03    2.8460E-03   -2.9022E-03    7.4983E-04    1.1778E-03
  20   -1.1908E+02   -1.3930E+01   -1.0515E+02    3.8272E+01    1.0220E-04   -1.9250E-03    3.1747E-03   -2.7082E-03    8.8538E-04    1.1289E-03
  25   -1.0128E+02   -1.8090E+01   -8.3194E+01    3.8794E+01    2.3624E-06   -1.5057E-03    3.2180E-03   -2.4690E-03    9.6557E-04    9.1320E-04
  30   -8.4919E+01   -2.1230E+01   -6.3690E+01    3.6771E+01   -8.0156E-05   -1.1347E-03    3.0502E-03   -2.1918E-03    9.7699E-04    6.1184E-04
  35   -7.0283E+01   -2.3123E+01   -4.7161E+01    3.3022E+01   -1.4155E-04   -8.2214E-04    2.7392E-03   -1.8853E-03    9.2156E-04    2.9733E-04
  40   -5.7215E+01   -2.3640E+01   -3.3575E+01    2.8173E+01   -1.8049E-04   -5.6777E-04    2.3370E-03   -1.5585E-03    8.1023E-04    2.4415E-05
  45   -4.5325E+01   -2.2662E+01   -2.2662E+01    2.2662E+01   -1.9630E-04   -3.6685E-04    1.8799E-03   -1.2215E-03    6.5836E-04   -1.7055E-04
  50   -3.4108E+01   -2.0016E+01   -1.4093E+01    1.6795E+01   -1.8784E-04   -2.1366E-04    1.3932E-03   -8.8451E-04    4.8301E-04   -2.6734E-04
  55   -2.3000E+01   -1.5433E+01   -7.5668E+00    1.0807E+01   -1.5290E-04   -1.0327E-04    8.9642E-04   -5.5775E-04    3.0158E-04   -2.5996E-04
  60   -1.1392E+01   -8.5436E+00   -2.8479E+00    4.9327E+00   -8.7918E-05   -3.2185E-05    4.0917E-04   -2.5116E-04    1.3106E-04   -1.5632E-04
  65    1.3279E+00    1.0907E+00    2.3716E-01   -5.0860E-01    1.1533E-05    1.7538E-06   -4.2189E-05    2.5945E-05   -1.2659E-05    1.9628E-05
  70    1.5618E+01    1.3791E+01    1.8269E+00   -5.0195E+00    1.4868E-04    3.4483E-07   -4.1637E-04    2.6515E-04   -1.1612E-04    2.2361E-04
  75    3.1387E+01    2.9285E+01    2.1025E+00   -7.8468E+00    3.2006E-04   -3.2373E-05   -6.5090E-04    4.5918E-04   -1.7149E-04    3.8748E-04
  80    4.7245E+01    4.5820E+01    1.4246E+00   -8.0794E+00    5.0535E-04   -8.5401E-05   -6.7019E-04    6.0214E-04   -1.8220E-04    4.2773E-04
  85    5.9837E+01    5.9382E+01    4.5453E-01   -5.1953E+00    6.5832E-04   -1.3661E-04   -4.3095E-04    6.8970E-04   -1.6799E-04    2.8637E-04
  90    6.4763E+01    6.4763E+01    1.7190E-12    1.0551E-05    7.1918E-04   -1.5822E-04    8.7524E-10    7.1918E-04   -1.5822E-04   -5.8934E-10
  95    5.9837E+01    5.9382E+01    4.5453E-01    5.1953E+00    6.5832E-04   -1.3661E-04    4.3095E-04    6.8970E-04   -1.6799E-04   -2.8637E-04
 100    4.7245E+01    4.5820E+01    1.4246E+00    8.0794E+00    5.0535E-04   -8.5401E-05    6.7019E-04    6.0214E-04   -1.8220E-04   -4.2773E-04
 105    3.1387E+01    2.9285E+01    2.1025E+00    7.8468E+00    3.2006E-04   -3.2373E-05    6.5090E-04    4.5918E-04   -1.7149E-04   -3.8748E-04
 110    1.5618E+01    1.3791E+01    1.8269E+00    5.0194E+00    1.4868E-04    3.4489E-07    4.1637E-04    2.6515E-04   -1.1612E-04   -2.2361E-04
 115    1.3278E+00    1.0906E+00    2.3715E-01    5.0857E-01    1.1532E-05    1.7538E-06    4.2187E-05    2.5944E-05   -1.2658E-05   -1.9626E-05
 120   -1.1392E+01   -8.5437E+00   -2.8479E+00   -4.9327E+00   -8.7918E-05   -3.2185E-05   -4.0917E-04   -2.5116E-04    1.3106E-04    1.5632E-04
 125   -2.3000E+01   -1.5433E+01   -7.5669E+00   -1.0807E+01   -1.5290E-04   -1.0327E-04   -8.9642E-04   -5.5775E-04    3.0158E-04    2.5996E-04
 130   -3.4108E+01   -2.0016E+01   -1.4093E+01   -1.6795E+01   -1.8784E-04   -2.1366E-04   -1.3932E-03   -8.8451E-04    4.8301E-04    2.6734E-04
 135   -4.5325E+01   -2.2662E+01   -2.2662E+01   -2.2662E+01   -1.9630E-04   -3.6685E-04   -1.8799E-03   -1.2215E-03    6.5836E-04    1.7055E-04
 140   -5.7215E+01   -2.3640E+01   -3.3575E+01   -2.8173E+01   -1.8049E-04   -5.6777E-04   -2.3370E-03   -1.5585E-03    8.1024E-04   -2.4416E-05
 145   -7.0283E+01   -2.3123E+01   -4.7161E+01   -3.3022E+01   -1.4155E-04   -8.2214E-04   -2.7392E-03   -1.8853E-03    9.2156E-04   -2.9733E-04
 150   -8.4919E+01   -2.1230E+01   -6.3690E+01   -3.6771E+01   -8.0156E-05   -1.1347E-03   -3.0502E-03   -2.1918E-03    9.7699E-04   -6.1184E-04
 155   -1.0128E+02   -1.8090E+01   -8.3194E+01   -3.8794E+01    2.3627E-06   -1.5057E-03   -3.2180E-03   -2.4690E-03    9.6557E-04   -9.1321E-04
 160   -1.1908E+02   -1.3930E+01   -1.0515E+02   -3.8272E+01    1.0220E-04   -1.9250E-03   -3.1747E-03   -2.7082E-03    8.8538E-04   -1.1289E-03
 165   -1.3724E+02   -9.1932E+00   -1.2805E+02   -3.4310E+01    2.1073E-04   -2.3631E-03   -2.8460E-03   -2.9022E-03    7.4982E-04   -1.1778E-03
 170   -1.5366E+02   -4.6335E+00   -1.4903E+02   -2.6278E+01    3.1264E-04   -2.7652E-03   -2.1798E-03   -3.0452E-03    5.9259E-04   -9.9565E-04
 175   -1.6542E+02   -1.2566E+00   -1.6417E+02   -1.4363E+01    3.8711E-04   -3.0554E-03   -1.1914E-03   -3.1327E-03    4.6440E-04   -5.7550E-04
 180   -1.6973E+02   -1.8021E-11   -1.6973E+02    5.5306E-05    4.1466E-04   -3.1622E-03    4.5877E-09   -3.1622E-03    4.1466E-04    2.2567E-09



 Load case:   4
 ==============

                      X-Stress      Y-Stress     XY-Stress
                     ===========   ===========   ===========
                      0.0000E+00    0.0000E+00   -1.0000E+02

 Ang      Sigma       X-Stress      Y-Stress      XY-Stress     X-Strain      Y-Strain      XY-Strain     Eps-Circ       Eps-Rad     Eps-RadCirc
 ===   ===========   ===========   ===========   ===========   ===========   ===========   ===========   ===========   ===========   ===========
   0    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00
   5    8.5225E+01    6.4738E-01    8.4578E+01   -7.3996E+00   -1.9944E-04    1.5741E-03   -6.1380E-04    1.6140E-03   -2.3926E-04   -2.9650E-04
  10    1.6041E+02    4.8370E+00    1.5558E+02   -2.7432E+01   -3.2637E-04    2.8866E-03   -2.2755E-03    3.1789E-03   -6.1862E-04   -1.0394E-03
  15    2.1976E+02    1.4721E+01    2.0504E+02   -5.4939E+01   -3.3744E-04    3.7840E-03   -4.5573E-03    4.6472E-03   -1.2007E-03   -1.8860E-03
  20    2.6270E+02    3.0730E+01    2.3197E+02   -8.4429E+01   -2.2546E-04    4.2466E-03   -7.0035E-03    5.9744E-03   -1.9532E-03   -2.4904E-03
  25    2.9208E+02    5.2168E+01    2.3991E+02   -1.1187E+02   -6.8125E-06    4.3423E-03   -9.2800E-03    7.1200E-03   -2.7845E-03   -2.6335E-03
  30    3.1185E+02    7.7963E+01    2.3389E+02   -1.3504E+02    2.9436E-04    4.1670E-03   -1.1201E-02    8.0492E-03   -3.5878E-03   -2.2469E-03
  35    3.2560E+02    1.0712E+02    2.1848E+02   -1.5298E+02    6.5579E-04    3.8088E-03   -1.2690E-02    8.7339E-03   -4.2694E-03   -1.3775E-03
  40    3.3603E+02    1.3884E+02    1.9719E+02   -1.6546E+02    1.0600E-03    3.3346E-03   -1.3725E-02    9.1532E-03   -4.7586E-03   -1.4339E-04
  45    3.4488E+02    1.7244E+02    1.7244E+02   -1.7244E+02    1.4936E-03    2.7913E-03   -1.4304E-02    9.2944E-03   -5.0095E-03    1.2977E-03
  50    3.5297E+02    2.0713E+02    1.4584E+02   -1.7380E+02    1.9438E-03    2.2110E-03   -1.4417E-02    9.1532E-03   -4.9984E-03    2.7666E-03
  55    3.6017E+02    2.4167E+02    1.1849E+02   -1.6922E+02    2.3943E-03    1.6171E-03   -1.4037E-02    8.7339E-03   -4.7225E-03    4.0707E-03
  60    3.6508E+02    2.7381E+02    9.1269E+01   -1.5808E+02    2.8176E-03    1.0315E-03   -1.3113E-02    8.0492E-03   -4.2002E-03    5.0097E-03
  65    3.6439E+02    2.9931E+02    6.5083E+01   -1.3957E+02    3.1648E-03    4.8130E-04   -1.1578E-02    7.1200E-03   -3.4739E-03    5.3862E-03
  70    3.5190E+02    3.1074E+02    4.1165E+01   -1.1310E+02    3.3501E-03    7.7698E-06   -9.3817E-03    5.9744E-03   -2.6165E-03    5.0384E-03
  75    3.1766E+02    2.9638E+02    2.1279E+01   -7.9415E+01    3.2393E-03   -3.2763E-04   -6.5876E-03    4.6472E-03   -1.7356E-03    3.9215E-03
  80    2.4942E+02    2.4190E+02    7.5209E+00   -4.2653E+01    2.6679E-03   -4.5086E-04   -3.5381E-03    3.1789E-03   -9.6187E-04    2.2581E-03
  85    1.4002E+02    1.3896E+02    1.0636E+00   -1.2157E+01    1.5405E-03   -3.1967E-04   -1.0085E-03    1.6140E-03   -3.9310E-04    6.7013E-04
  90   -2.7272E-04   -2.7272E-04   -7.2389E-18   -4.4432E-11   -3.0285E-09    6.6627E-10   -3.6857E-15   -3.0285E-09    6.6627E-10    2.4818E-15
  95   -1.4002E+02   -1.3896E+02   -1.0636E+00   -1.2158E+01   -1.5405E-03    3.1967E-04   -1.0085E-03   -1.6140E-03    3.9310E-04    6.7013E-04
 100   -2.4942E+02   -2.4190E+02   -7.5210E+00   -4.2653E+01   -2.6679E-03    4.5086E-04   -3.5381E-03   -3.1789E-03    9.6187E-04    2.2581E-03
 105   -3.1766E+02   -2.9638E+02   -2.1279E+01   -7.9415E+01   -3.2393E-03    3.2763E-04   -6.5876E-03   -4.6472E-03    1.7356E-03    3.9215E-03
 110   -3.5190E+02   -3.1074E+02   -4.1165E+01   -1.1310E+02   -3.3501E-03   -7.7713E-06   -9.3817E-03   -5.9744E-03    2.6165E-03    5.0384E-03
 115   -3.6439E+02   -2.9931E+02   -6.5083E+01   -1.3957E+02   -3.1648E-03   -4.8130E-04   -1.1578E-02   -7.1200E-03    3.4739E-03    5.3862E-03
 120   -3.6508E+02   -2.7381E+02   -9.1269E+01   -1.5808E+02   -2.8176E-03   -1.0315E-03   -1.3113E-02   -8.0492E-03    4.2002E-03    5.0097E-03
 125   -3.6017E+02   -2.4167E+02   -1.1849E+02   -1.6922E+02   -2.3943E-03   -1.6171E-03   -1.4037E-02   -8.7339E-03    4.7225E-03    4.0707E-03
 130   -3.5297E+02   -2.0713E+02   -1.4584E+02   -1.7380E+02   -1.9438E-03   -2.2110E-03   -1.4417E-02   -9.1532E-03    4.9984E-03    2.7666E-03
 135   -3.4488E+02   -1.7244E+02   -1.7244E+02   -1.7244E+02   -1.4936E-03   -2.7913E-03   -1.4304E-02   -9.2944E-03    5.0095E-03    1.2977E-03
 140   -3.3603E+02   -1.3884E+02   -1.9719E+02   -1.6546E+02   -1.0600E-03   -3.3346E-03   -1.3725E-02   -9.1532E-03    4.7586E-03   -1.4340E-04
 145   -3.2560E+02   -1.0712E+02   -2.1848E+02   -1.5298E+02   -6.5579E-04   -3.8088E-03   -1.2690E-02   -8.7339E-03    4.2694E-03   -1.3775E-03
 150   -3.1185E+02   -7.7963E+01   -2.3389E+02   -1.3504E+02   -2.9436E-04   -4.1670E-03   -1.1201E-02   -8.0492E-03    3.5878E-03   -2.2469E-03
