    17  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    18  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    19  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    20  50.00  0.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    21  50.00  0.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    22  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    23  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    24  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    25  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    26  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    27  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    28  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    29  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    30  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    31  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    32  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
5 Data for Element 2: i  W(i)  t(i)  E(i)  G(i)  µ1(i)  µ2(i)  Ct(i)  Ftu(i)  [Effec Fbru(i)]
     1  50.00  0.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     2  50.00  0.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     3  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     4  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
     5  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     6  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     7  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
     8  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     9  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    10  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    11  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    12  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    13  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    14  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    15  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    16  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    17  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    18  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    19  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    20  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    21  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    22  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    23  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    24  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    25  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    26  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    27  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    28  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    29  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    30  50.00  0.50  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    31  50.00  0.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    32  50.00  0.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
5 Data for Element 3: i  W(i)  t(i)  E(i)  G(i)  µ1(i)  µ2(i)  Ct(i)  Ftu(i)  [Effec Fbru(i)]
     1  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     2  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     3  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     4  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  0.000   900.00
     5  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     6  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     7  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
     8  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     9  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    10  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    11  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    12  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    13  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    14  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    15  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  0.000   900.00
    16  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  0.000   900.00
    17  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  0.000   900.00
    18  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  0.000   900.00
    19  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    20  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    21  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    22  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    23  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    24  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    25  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    26  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    27  50.00  0.70  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    28  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    29  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  0.000   900.00
    30  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    31  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    32  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
5 Data for Element 4: i  W(i)  t(i)  E(i)  G(i)  µ1(i)  µ2(i)  Ct(i)  Ftu(i)  [Effec Fbru(i)]
     1  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     2  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     3  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     4  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  0.000   900.00
     5  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     6  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     7  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  0.000   900.00
     8  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     9  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    10  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    11  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    12  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    13  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    14  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    15  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  0.000   900.00
    16  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  0.000   900.00
    17  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  0.000   900.00
    18  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  0.000   900.00
    19  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    20  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    21  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    22  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    23  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    24  50.00  0.80  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    25  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    26  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  0.000   900.00
    27  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    28  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    29  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  0.000   900.00
    30  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    31  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    32  50.00  0.0   72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
6 Applied loads: Pleft(i)  Pright(i) - Qleft(i)  Qright(i) / DeltaT
    10000.0    10000.0        0.0        0.0
        0.0        0.0        0.0        0.0
        0.0        0.0        0.0        0.0
        0.0        0.0        0.0        0.0
        0.0
